Fecha,M̩xico,Susana_00,Susana_20,Susana_50
2020-02-28,1.0,,,
2020-02-29,4.0,,,
2020-03-01,5.0,,,
2020-03-02,5.0,,,
2020-03-03,5.0,,,
2020-03-04,5.0,,,
2020-03-05,5.0,,,
2020-03-06,6.0,,,
2020-03-07,7.0,,,
2020-03-08,7.0,,,
2020-03-09,7.0,,,
2020-03-10,7.0,,,
2020-03-11,11.0,,,
2020-03-12,16.0,,,
2020-03-13,30.0,,,
2020-03-14,44.0,,,
2020-03-15,55.0,,,
2020-03-16,75.0,,,
2020-03-17,101.0,,,
2020-03-18,118.0,,,
2020-03-19,177.0,177.0,177.0,177.0
2020-03-20,203.0,208.0,208.0,208.0
2020-03-21,251.0,244.0,244.0,244.0
2020-03-22,316.0,292.0,292.0,292.0
2020-03-23,356.0,351.0,351.0,351.0
2020-03-24,405.0,422.0,422.0,422.0
2020-03-25,475.0,503.0,503.0,503.0
2020-03-26,585.0,597.0,597.0,597.0
2020-03-27,717.0,707.0,707.0,707.0
2020-03-28,848.0,834.0,826.0,817.0
2020-03-29,993.0,981.0,953.0,922.0
2020-03-30,,1151.0,1090.0,1022.0
2020-03-31,,1348.0,1237.0,1117.0
2020-04-01,,1577.0,1396.0,1207.0
2020-04-02,,1842.0,1566.0,1292.0
2020-04-03,,2150.0,1750.0,1373.0
